ID,Prob1
0, 0.37
1, 0.27
2, 0.50
3, 0.24
4, 0.08
5, 0.17
6, 0.31
7, 0.85
8, 0.89
9, 0.19
10, 0.33
11, 0.15
12, 0.37
13, 0.67
14, 0.38
15, 0.15
16, 0.43
17, 0.18
18, 0.15
19, 0.26
20, 0.33
21, 0.33
22, 0.55
23, 0.54
24, 0.30
25, 0.32
26, 0.36
27, 0.07
28, 0.07
29, 0.87
30, 0.07
31, 0.14
32, 0.26
33, 0.21
34, 0.37
35, 0.37
36, 0.06
37, 0.56
38, 0.53
39, 0.44
40, 0.29
41, 0.05
42, 0.33
43, 0.21
44, 0.47
45, 0.20
46, 0.29
47, 0.54
48, 0.49
49, 0.32
50, 0.77
51, 0.20
52, 0.54
53, 0.29
54, 0.59
55, 0.03
56, 0.65
57, 0.18
58, 0.10
59, 0.18
60, 0.44
61, 0.31
62, 0.15
63, 0.24
64, 0.20
65, 0.34
66, 0.92
67, 0.12
68, 0.12
69, 0.08
70, 0.73
71, 0.84
72, 0.45
73, 0.32
74, 0.13
75, 0.46
76, 0.13
77, 0.58
78, 0.17
79, 0.38
80, 0.42
81, 0.08
82, 0.24
83, 0.09
84, 0.23
85, 0.16
86, 0.57
87, 0.18
88, 0.19
89, 0.72
90, 0.33
91, 0.16
92, 0.29
93, 0.54
94, 0.20
95, 0.26
96, 0.48
97, 0.05
98, 0.15
99, 0.46
100, 0.04
101, 0.60
102, 0.63
103, 0.14
104, 0.26
105, 0.20
106, 0.16
107, 0.24
108, 0.26
109, 0.37
110, 0.45
111, 0.26
112, 0.15
113, 0.24
114, 0.42
115, 0.06
116, 0.25
117, 0.16
118, 0.26
119, 0.42
120, 0.32
121, 0.23
122, 0.78
123, 0.59
124, 0.20
125, 0.26
126, 0.47
127, 0.38
128, 0.42
129, 0.14
130, 0.32
131, 0.60
132, 0.21
133, 0.38
134, 0.04
135, 0.38
136, 0.19
137, 0.02
138, 0.38
139, 0.05
140, 0.11
141, 0.48
142, 0.69
143, 0.21
144, 0.12
145, 0.13
146, 0.38
147, 0.15
148, 0.29
149, 0.65
150, 0.79
151, 0.21
152, 0.70
153, 0.16
154, 0.86
155, 0.20
156, 0.18
157, 0.13
158, 0.11
159, 0.17
160, 0.45
161, 0.11
162, 0.25
163, 0.10
164, 0.05
165, 0.45
166, 0.12
167, 0.30
168, 0.10
169, 0.05
170, 0.14
171, 0.54
172, 0.03
173, 0.39
174, 0.37
175, 0.27
176, 0.16
177, 0.20
178, 0.64
179, 0.16
180, 0.51
181, 0.82
182, 0.16
183, 0.33
184, 0.73
185, 0.37
186, 0.52
187, 0.80
188, 0.21
189, 0.33
190, 1.05
191, 0.21
192, 0.74
193, 0.21
194, 0.28
195, 0.53
196, 0.08
197, 0.17
198, 0.34
199, 0.09
200, 0.16
201, 0.21
202, 0.76
203, 0.20
204, 0.59
205, 0.17
206, 0.11
207, 0.42
208, 0.33
209, 0.64
210, 0.41
211, 0.37
212, 0.64
213, 0.44
214, 0.52
215, 0.13
216, 0.58
217, 0.14
218, 0.13
219, 0.55
220, 0.14
221, 0.19
222, 0.10
223, 0.50
224, 0.54
225, 0.27
226, 0.52
227, 0.53
228, 0.41
229, 0.12
230, 0.18
231, 0.70
232, 0.47
233, 0.09
234, 0.35
235, 0.43
236, 0.21
237, 0.60
238, 0.73
239, 0.54
240, 0.39
241, 0.23
242, 0.17
243, 0.22
244, 0.18
245, 0.10
246, 0.23
247, 0.76
248, 0.40
249, 0.14
250, 0.90
251, 0.25
252, 0.02
253, 0.14
254, 0.26
255, 0.13
256, 0.55
257, 0.17
258, 0.99
259, 0.10
260, 0.82
261, 0.29
262, 0.33
263, 0.10
264, 0.17
265, 0.20
266, 0.06
267, 0.65
268, 0.30
269, 0.30
270, -0.00
271, 0.03
272, 0.22
273, 0.25
274, 0.57
275, 0.17
276, 0.72
277, 0.82
278, 0.17
279, 0.23
280, 0.72
281, 0.20
282, 0.16
283, 0.22
284, 0.15
285, 0.68
286, 0.64
287, 0.24
288, 0.19
289, 0.19
290, 0.15
291, 0.22
292, 0.32
293, 0.14
294, 0.07
295, 0.10
296, 0.28
297, 0.05
298, 0.43
299, 0.76
300, 0.33
301, 0.28
302, 0.40
303, 0.51
304, 0.08
305, 0.49
306, 0.45
307, 0.36
308, 0.07
309, 0.72
310, 0.31
311, 0.29
312, 0.34
313, 0.13
314, 0.75
315, 0.28
316, 0.02
317, 0.66
318, 0.26
319, 0.45
320, 0.24
321, 0.30
322, 0.24
323, 0.38
324, 0.25
325, 0.50
326, 0.37
327, 0.35
