ID,Prob1
0, 0.49
1, 0.31
2, 0.45
3, 0.20
4, 0.19
5, 0.24
6, 0.36
7, 0.84
8, 0.73
9, 0.21
10, 0.32
11, 0.21
12, 0.35
13, 0.62
14, 0.36
15, 0.31
16, 0.29
17, 0.23
18, 0.16
19, 0.54
20, 0.40
21, 0.27
22, 0.37
23, 0.35
24, 0.28
25, 0.38
26, 0.44
27, 0.18
28, 0.16
29, 0.80
30, 0.13
31, 0.22
32, 0.24
33, 0.28
34, 0.45
35, 0.46
36, 0.23
37, 0.54
38, 0.44
39, 0.49
40, 0.30
41, 0.12
42, 0.28
43, 0.50
44, 0.53
45, 0.31
46, 0.25
47, 0.63
48, 0.37
49, 0.41
50, 0.65
51, 0.31
52, 0.46
53, 0.24
54, 0.56
55, 0.13
56, 0.70
57, 0.21
58, 0.16
59, 0.22
60, 0.42
61, 0.40
62, 0.20
63, 0.29
64, 0.26
65, 0.24
66, 0.81
67, 0.16
68, 0.24
69, 0.12
70, 0.83
71, 0.86
72, 0.46
73, 0.27
74, 0.16
75, 0.59
76, 0.13
77, 0.48
78, 0.22
79, 0.30
80, 0.35
81, 0.13
82, 0.15
83, 0.20
84, 0.33
85, 0.23
86, 0.62
87, 0.20
88, 0.16
89, 0.67
90, 0.19
91, 0.27
92, 0.26
93, 0.55
94, 0.21
95, 0.23
96, 0.43
97, 0.13
98, 0.17
99, 0.52
100, 0.06
101, 0.47
102, 0.35
103, 0.27
104, 0.24
105, 0.31
106, 0.25
107, 0.30
108, 0.25
109, 0.39
110, 0.34
111, 0.23
112, 0.23
113, 0.26
114, 0.54
115, 0.10
116, 0.18
117, 0.38
118, 0.34
119, 0.41
120, 0.26
121, 0.49
122, 0.69
123, 0.54
124, 0.24
125, 0.37
126, 0.45
127, 0.25
128, 0.30
129, 0.13
130, 0.64
131, 0.49
132, 0.22
133, 0.27
134, 0.16
135, 0.35
136, 0.22
137, 0.07
138, 0.36
139, 0.08
140, 0.16
141, 0.33
142, 0.45
143, 0.16
144, 0.42
145, 0.16
146, 0.37
147, 0.18
148, 0.29
149, 0.45
150, 0.52
151, 0.24
152, 0.58
153, 0.27
154, 0.91
155, 0.19
156, 0.37
157, 0.18
158, 0.15
159, 0.31
160, 0.45
161, 0.12
162, 0.25
163, 0.20
164, 0.14
165, 0.41
166, 0.21
167, 0.39
168, 0.21
169, 0.17
170, 0.11
171, 0.43
172, 0.21
173, 0.55
174, 0.50
175, 0.28
176, 0.18
177, 0.24
178, 0.61
179, 0.13
180, 0.54
181, 0.71
182, 0.22
183, 0.20
184, 0.71
185, 0.39
186, 0.54
187, 0.75
188, 0.22
189, 0.30
190, 0.88
191, 0.24
192, 0.48
193, 0.20
194, 0.29
195, 0.42
196, 0.16
197, 0.27
198, 0.27
199, 0.16
200, 0.24
201, 0.20
202, 0.81
203, 0.15
204, 0.32
205, 0.23
206, 0.21
207, 0.41
208, 0.25
209, 0.64
210, 0.46
211, 0.40
212, 0.38
213, 0.42
214, 0.43
215, 0.15
216, 0.31
217, 0.19
218, 0.19
219, 0.41
220, 0.25
221, 0.24
222, 0.16
223, 0.52
224, 0.42
225, 0.17
226, 0.51
227, 0.44
228, 0.44
229, 0.12
230, 0.27
231, 0.64
232, 0.42
233, 0.19
234, 0.27
235, 0.48
236, 0.23
237, 0.43
238, 0.73
239, 0.29
240, 0.58
241, 0.20
242, 0.14
243, 0.19
244, 0.30
245, 0.27
246, 0.24
247, 0.67
248, 0.47
249, 0.22
250, 0.73
251, 0.23
252, 0.20
253, 0.18
254, 0.28
255, 0.13
256, 0.54
257, 0.14
258, 0.90
259, 0.22
260, 0.76
261, 0.22
262, 0.32
263, 0.13
264, 0.20
265, 0.33
266, 0.12
267, 0.29
268, 0.32
269, 0.32
270, 0.15
271, 0.08
272, 0.22
273, 0.42
274, 0.62
275, 0.27
276, 0.75
277, 0.86
278, 0.29
279, 0.23
280, 0.72
281, 0.22
282, 0.16
283, 0.34
284, 0.19
285, 0.57
286, 0.52
287, 0.35
288, 0.17
289, 0.30
290, 0.20
291, 0.25
292, 0.24
293, 0.39
294, 0.18
295, 0.12
296, 0.44
297, 0.14
298, 0.47
299, 0.80
300, 0.25
301, 0.30
302, 0.55
303, 0.46
304, 0.15
305, 0.51
306, 0.43
307, 0.27
308, 0.19
309, 0.81
310, 0.29
311, 0.21
312, 0.52
313, 0.17
314, 0.57
315, 0.32
316, 0.04
317, 0.46
318, 0.26
319, 0.32
320, 0.28
321, 0.37
322, 0.26
323, 0.43
324, 0.26
325, 0.32
326, 0.39
327, 0.44
328, 0.38
329, 0.19
330, 0.26
331, 0.51
332, 0.59
333, 0.25
334, 0.42
335, 0.21
336, 0.46
337, 0.88
338, 0.36
339, 0.25
340, 0.35
341, 0.21
342, 0.13
343, 0.10
344, 0.23
345, 0.68
346, 0.54
347, 0.08
348, 0.24
349, 0.45
350, 0.12
351, 0.41
352, 0.23
353, 0.47
354, 0.27
355, 0.16
356, 0.15
357, 0.46
358, 0.31
359, 0.20
360, 0.26
361, 0.10
362, 0.22
363, 0.48
364, 0.29
365, 0.77
366, 0.27
367, 0.44
368, 0.20
369, 0.36
370, 0.15
371, 0.25
372, 0.26
373, 0.26
374, 0.46
375, 0.18
376, 0.48
377, 0.13
378, 0.56
379, 0.23
380, 0.61
381, 0.26
382, 0.43
383, 0.74
384, 0.35
385, 0.40
386, 0.38
387, 0.28
388, 0.19
389, 0.31
390, 0.18
391, 0.21
392, 0.69
393, 0.20
394, 0.40
395, 0.30
396, 0.61
397, 0.26
398, 0.30
399, 0.82
400, 0.36
401, 0.39
402, 0.09
403, 0.19
404, 0.31
405, 0.19
406, 0.45
407, 0.31
408, 0.37
409, 0.25
410, 0.14
411, 0.32
412, 0.33
413, 0.40
414, 0.22
415, 0.27
416, 0.32
417, 0.18
418, 0.22
419, 0.50
420, 0.39
421, 0.22
422, 0.42
423, 0.25
424, 0.26
425, 0.36
426, 0.18
427, 0.38
428, 0.16
429, 0.09
430, 0.32
431, 0.59
432, 0.14
433, 0.20
434, 0.50
435, 0.26
436, 0.46
437, 0.57
438, 0.29
439, 0.14
440, 0.50
441, 0.25
442, 0.66
443, 0.29
444, 0.11
445, 0.23
446, 0.53
447, 0.17
448, 0.81
449, 0.33
450, 0.23
451, 0.64
452, 0.43
453, 0.46
454, 0.33
455, 0.22
456, 0.67
457, 0.45
458, 0.58
459, 0.26
460, 0.56
461, 0.19
462, 0.22
463, 0.20
464, 0.29
465, 0.09
466, 0.33
467, 0.41
468, 0.25
469, 0.22
470, 0.29
471, 0.32
472, 0.36
473, 0.38
474, 0.31
475, 0.31
476, 0.25
477, 0.24
478, 0.40
479, 0.34
480, 0.35
481, 0.28
482, 0.54
483, 0.46
484, 0.23
485, 0.86
486, 0.70
487, 0.72
488, 0.56
489, 0.56
490, 0.16
491, 0.26
492, 0.11
493, 0.16
494, 0.57
495, 0.41
496, 0.86
497, 0.60
498, 0.83
499, 0.54
500, 0.30
501, 0.28
502, 0.29
503, 0.29
504, 0.44
505, 0.24
506, 0.39
507, 0.11
508, 0.28
509, 0.30
510, 0.40
511, 0.23
512, 0.23
513, 0.08
514, 0.38
515, 0.60
516, 0.19
517, 0.43
518, 0.47
519, 0.89
520, 0.53
521, 0.27
522, 0.34
523, 0.57
524, 0.30
525, 0.66
526, 0.29
527, 0.36
528, 0.47
529, 0.26
530, 0.20
531, 0.33
532, 0.30
533, 0.21
534, 0.72
535, 0.42
536, 0.31
537, 0.22
538, 0.21
539, 0.48
540, 0.16
541, 0.14
542, 0.67
543, 0.43
544, 0.17
545, 0.49
546, 0.44
547, 0.15
548, 0.64
549, 0.17
550, 0.63
551, 0.24
552, 0.72
553, 0.18
554, 0.27
555, 0.16
556, 0.26
557, 0.19
558, 0.37
559, 0.20
560, 0.23
561, 0.24
562, 0.19
563, 0.30
564, 0.23
565, 0.25
566, 0.17
567, 0.48
568, 0.29
569, 0.22
570, 0.35
571, 0.15
572, 0.14
573, 0.42
574, 0.38
575, 0.18
576, 0.22
577, 0.47
578, 0.33
579, 0.41
580, 0.50
581, 0.24
582, 0.57
583, 0.36
584, 0.14
585, 0.21
586, 0.70
587, 0.58
588, 0.21
589, 0.81
590, 0.13
591, 0.18
592, 0.74
593, 0.42
594, 0.28
595, 0.37
596, 0.31
597, 0.29
598, 0.27
599, 0.37
600, 0.45
601, 0.25
602, 0.26
603, 0.66
604, 0.10
605, 0.19
606, 0.46
607, 0.09
608, 0.36
609, 0.36
610, 0.34
611, 0.56
612, 0.49
613, 0.37
614, 0.34
615, 0.14
616, 0.38
