ID,Prob1
0, 0.49
1, 0.15
2, 0.63
3, 0.35
4, 0.02
5, 0.23
6, 0.28
7, 0.95
8, 0.99
9, 0.26
10, 0.33
11, 0.05
12, 0.37
13, 0.67
14, 0.31
15, 0.06
16, 0.38
17, 0.14
18, 0.13
19, 0.24
20, 0.16
21, 0.36
22, 0.60
23, 0.90
24, 0.54
25, 0.32
26, 0.36
27, 0.05
28, 0.06
29, 0.82
30, 0.04
31, 0.06
32, 0.32
33, 0.17
34, 0.32
35, 0.37
36, 0.02
37, 0.54
38, 0.46
39, 0.36
40, 0.22
41, 0.01
42, 0.26
43, 0.05
44, 0.41
45, 0.31
46, 0.37
47, 0.47
48, 0.62
49, 0.23
50, 0.87
51, 0.09
52, 0.41
53, 0.30
54, 0.72
55, 0.06
56, 0.65
57, 0.09
58, 0.03
59, 0.18
60, 0.38
61, 0.27
62, 0.42
63, 0.26
64, 0.28
65, 0.42
66, 0.84
67, 0.13
68, 0.17
69, 0.01
70, 0.72
71, 0.81
72, 0.39
73, 0.38
74, 0.09
75, 0.31
76, 0.16
77, 0.49
78, 0.11
79, 0.49
80, 0.52
81, 0.06
82, 0.23
83, 0.07
84, 0.26
85, 0.07
86, 0.55
87, 0.28
88, 0.30
89, 0.73
90, 0.07
91, 0.15
92, 0.27
93, 0.33
94, 0.22
95, 0.40
96, 0.41
97, 0.03
98, 0.18
99, 0.47
100, 0.01
101, 0.70
102, 0.79
103, 0.00
104, 0.45
105, 0.06
106, 0.21
107, 0.28
108, 0.24
109, 0.45
110, 0.52
111, 0.24
112, 0.09
113, 0.11
114, 0.29
115, 0.00
116, 0.46
117, 0.04
118, 0.22
119, 0.74
120, 0.26
121, 0.03
122, 0.92
123, 0.74
124, 0.12
125, 0.21
126, 0.50
127, 0.45
128, 0.58
129, 0.09
130, 0.06
131, 0.62
132, 0.19
133, 0.55
134, 0.03
135, 0.38
136, 0.22
137, 0.00
138, 0.31
139, 0.02
140, 0.08
141, 0.34
142, 0.67
143, 0.11
144, 0.07
145, 0.05
146, 0.44
147, 0.12
148, 0.26
149, 0.51
150, 0.85
151, 0.28
152, 0.66
153, 0.20
154, 0.95
155, 0.20
156, 0.10
157, 0.09
158, 0.17
159, 0.08
160, 0.55
161, 0.06
162, 0.29
163, 0.03
164, 0.02
165, 0.52
166, 0.12
167, 0.16
168, 0.11
169, 0.01
170, 0.05
171, 0.63
172, 0.04
173, 0.31
174, 0.55
175, 0.20
176, 0.03
177, 0.18
178, 0.62
179, 0.11
180, 0.71
181, 0.92
182, 0.10
183, 0.06
184, 0.74
185, 0.13
186, 0.31
187, 0.96
188, 0.25
189, 0.32
190, 0.99
191, 0.19
192, 0.75
193, 0.38
194, 0.33
195, 0.53
196, 0.01
197, 0.11
198, 0.37
199, 0.01
200, 0.13
201, 0.25
202, 0.80
203, 0.32
204, 0.32
205, 0.20
206, 0.08
207, 0.47
208, 0.60
209, 0.66
210, 0.20
211, 0.32
212, 0.48
213, 0.39
214, 0.57
215, 0.05
216, 0.56
217, 0.24
218, 0.03
219, 0.74
220, 0.01
221, 0.21
222, 0.14
223, 0.55
224, 0.82
225, 0.39
226, 0.55
227, 0.53
228, 0.44
229, 0.06
230, 0.15
231, 0.77
232, 0.54
233, 0.13
234, 0.59
235, 0.07
236, 0.20
237, 0.71
238, 0.89
239, 0.52
240, 0.40
241, 0.28
242, 0.31
243, 0.21
244, 0.37
245, 0.08
246, 0.29
247, 0.87
248, 0.35
249, 0.11
250, 0.95
251, 0.20
252, 0.05
253, 0.13
254, 0.16
255, 0.15
256, 0.67
257, 0.18
258, 0.99
259, 0.06
260, 0.89
261, 0.19
262, 0.44
263, 0.17
264, 0.09
265, 0.20
266, 0.03
267, 0.54
268, 0.23
269, 0.05
270, 0.00
271, 0.01
272, 0.36
273, 0.04
274, 0.52
275, 0.05
276, 0.50
277, 0.83
278, 0.06
279, 0.24
280, 0.60
281, 0.23
282, 0.13
283, 0.24
284, 0.05
285, 0.79
286, 0.76
287, 0.11
288, 0.22
289, 0.19
290, 0.13
291, 0.20
292, 0.21
293, 0.00
294, 0.07
295, 0.07
296, 0.31
297, 0.00
298, 0.65
299, 0.88
300, 0.47
301, 0.43
302, 0.62
303, 0.65
304, 0.03
305, 0.45
306, 0.76
307, 0.48
308, 0.02
309, 0.85
310, 0.31
311, 0.47
312, 0.31
313, 0.13
314, 0.89
315, 0.20
316, 0.01
317, 0.66
318, 0.26
319, 0.85
320, 0.13
321, 0.16
322, 0.16
323, 0.37
324, 0.38
325, 0.73
326, 0.56
327, 0.27
328, 0.48
329, 0.15
330, 0.06
331, 0.49
332, 0.23
333, 0.34
334, 0.30
335, 0.19
336, 0.56
337, 0.94
338, 0.25
339, 0.29
340, 0.30
341, 0.31
342, 0.01
343, 0.09
344, 0.49
345, 0.84
346, 0.59
347, 0.01
348, 0.06
349, 0.45
350, 0.13
351, 0.32
352, 0.07
353, 0.56
354, 0.19
355, 0.15
356, 0.10
357, 0.51
358, 0.30
359, 0.25
360, 0.25
361, 0.25
362, 0.24
363, 0.74
364, 0.42
365, 0.93
366, 0.15
367, 0.05
368, 0.29
369, 0.67
370, 0.03
371, 0.27
372, 0.26
373, 0.13
374, 0.46
375, 0.04
376, 0.58
377, 0.05
378, 0.72
379, 0.09
380, 0.27
381, 0.09
382, 0.12
383, 0.78
384, 0.64
385, 0.10
386, 0.13
387, 0.66
388, 0.20
389, 0.38
390, 0.14
391, 0.10
392, 0.96
393, 0.34
394, 0.38
395, 0.32
396, 0.61
397, 0.16
398, 0.26
399, 0.65
400, 0.29
401, 0.28
402, 0.00
403, 0.04
404, 0.39
405, 0.34
406, 0.22
407, 0.08
408, 0.24
409, 0.19
410, 0.00
411, 0.25
412, 0.39
413, 0.14
414, 0.10
415, 0.05
416, 0.56
417, 0.07
418, 0.22
419, 0.28
420, 0.41
421, 0.39
422, 0.55
423, 0.05
424, 0.35
425, 0.32
426, 0.17
427, 0.02
428, 0.20
429, 0.04
430, 0.13
431, 0.44
432, 0.12
433, 0.10
434, 0.56
435, 0.02
436, 0.60
437, 0.38
438, 0.64
439, 0.11
440, 0.28
441, 0.28
442, 0.79
443, 0.26
444, 0.11
445, 0.24
446, 0.28
447, 0.11
448, 0.97
449, 0.31
450, 0.09
451, 0.58
452, 0.40
453, 0.29
454, 0.34
455, 0.16
456, 0.67
457, 0.23
458, 0.36
459, 0.30
460, 0.87
461, 0.00
462, 0.20
463, 0.28
464, 0.07
465, 0.03
466, 0.07
467, 0.26
468, 0.16
469, 0.34
470, 0.58
471, 0.39
472, 0.29
473, 0.02
474, 0.50
475, 0.20
476, 0.26
477, 0.02
478, 0.41
479, 0.18
480, 0.20
481, 0.43
482, 0.43
483, 0.52
484, 0.04
485, 0.89
486, 0.62
487, 0.81
488, 0.47
489, 0.78
490, 0.06
491, 0.50
492, 0.06
493, 0.09
494, 0.87
495, 0.07
496, 0.98
497, 0.74
498, 0.89
499, 0.24
500, 0.46
501, 0.22
502, 0.22
503, 0.05
504, 0.67
505, 0.09
506, 0.27
507, 0.01
508, 0.41
509, 0.35
510, 0.51
511, 0.26
512, 0.08
513, 0.06
514, 0.22
515, 0.93
516, 0.05
517, 0.42
518, 0.20
519, 0.91
520, 0.15
521, 0.73
522, 0.38
523, 0.59
524, 0.46
525, 0.53
526, 0.20
527, 0.38
528, 0.79
529, 0.39
530, 0.17
531, 0.42
532, 0.30
533, 0.09
534, 0.67
535, 0.32
536, 0.37
537, 0.02
538, 0.52
539, 0.11
540, 0.09
541, 0.02
542, 0.92
543, 0.40
544, 0.28
545, 0.70
546, 0.70
547, 0.03
548, 0.94
549, 0.19
550, 0.80
551, 0.08
552, 0.82
553, 0.18
554, 0.10
555, 0.06
556, 0.20
557, 0.14
558, 0.46
559, 0.34
560, 0.28
561, 0.13
562, 0.17
563, 0.22
564, 0.48
565, 0.22
566, 0.04
567, 0.47
568, 0.50
569, 0.20
570, 0.20
571, 0.07
572, 0.09
573, 0.22
574, 0.25
575, 0.10
576, 0.16
577, 0.68
578, 0.51
579, 0.41
580, 0.72
581, 0.55
582, 0.78
583, 0.25
584, 0.08
585, 0.17
586, 0.90
587, 0.86
588, 0.31
589, 0.97
590, 0.04
591, 0.19
592, 0.86
593, 0.41
594, 0.34
595, 0.51
596, 0.40
597, 0.70
598, 0.18
599, 0.03
600, 0.54
601, 0.12
602, 0.24
603, 0.22
604, 0.07
605, 0.02
606, 0.53
607, 0.00
608, 0.39
609, 0.42
610, 0.33
611, 0.62
612, 0.24
613, 0.71
614, 0.38
615, 0.04
616, 0.31
617, 0.23
618, 0.07
619, 0.65
620, 0.46
621, 0.74
622, 0.10
623, 0.24
624, 0.13
625, 0.02
626, 0.02
627, 0.11
628, 0.39
629, 0.73
630, 0.19
631, 0.51
632, 0.31
633, 0.31
634, 0.17
635, 0.75
636, 0.81
637, 0.20
638, 0.37
639, 0.34
640, 0.19
641, 0.51
642, 0.25
643, 0.84
644, 0.53
645, 0.05
646, 0.22
647, 0.29
648, 0.31
649, 0.22
650, 0.38
651, 0.10
652, 0.81
653, 0.02
654, 0.02
655, 0.50
656, 0.15
657, 0.67
658, 0.36
659, 0.11
660, 0.97
661, 0.34
662, 0.02
663, 0.08
664, 0.85
665, 0.02
666, 0.13
667, 0.59
668, 0.74
669, 0.11
670, 0.01
671, 0.03
672, 0.14
673, 0.10
674, 0.20
675, 0.70
676, 0.34
677, 0.46
678, 0.22
679, 0.09
680, 0.78
681, 0.44
682, 0.25
683, 0.90
684, 0.19
685, 0.27
686, 0.07
687, 0.05
688, 0.02
689, 0.34
690, 0.47
691, 0.33
692, 0.95
693, 0.50
694, 0.81
695, 0.77
696, 0.16
697, 0.16
698, 0.00
699, 0.47
700, 0.49
701, 0.32
702, 0.24
703, 0.76
704, 0.54
705, 0.50
706, 0.25
707, 0.17
708, 0.08
709, 0.01
710, 0.06
711, 0.94
712, 0.12
713, 0.06
714, 0.16
715, 0.21
716, 0.67
717, 0.20
718, 0.78
719, 0.27
720, 0.22
721, 0.62
722, 0.71
723, 0.41
724, 0.27
725, 0.65
726, 0.25
727, 0.93
728, 0.46
729, 0.25
730, 0.13
731, 0.20
732, 0.04
733, 0.03
734, 0.17
735, 0.31
736, 0.12
737, 0.13
738, 0.91
739, 0.49
740, 0.68
741, 0.95
742, 0.08
743, 0.03
744, 0.27
745, 0.87
746, 1.00
747, 0.60
748, 0.00
749, 0.22
750, 0.09
751, 0.52
752, 0.23
753, 0.04
754, 0.23
755, 0.48
756, 0.68
757, 0.08
758, 0.11
759, 0.29
760, 0.18
761, 0.31
762, 0.58
763, 0.16
764, 0.24
765, 0.17
766, 0.19
767, 0.06
768, 0.42
769, 0.75
770, 0.62
771, 0.01
772, 0.18
773, 0.19
774, 0.11
775, 0.14
776, 0.10
777, 0.01
778, 0.61
779, 0.11
780, 0.96
781, 0.05
782, 0.01
783, 0.04
784, 0.36
785, 0.57
786, 0.42
787, 0.69
788, 0.66
789, 0.12
790, 0.18
791, 0.38
792, 0.13
793, 0.74
794, 0.92
795, 0.20
796, 0.05
797, 1.00
798, 0.91
799, 0.32
800, 0.67
801, 0.47
802, 0.48
803, 0.11
804, 0.34
805, 0.62
806, 0.30
807, 0.26
808, 0.19
809, 0.44
810, 0.31
811, 0.99
812, 0.23
813, 0.25
814, 0.24
815, 0.01
816, 0.27
817, 0.27
818, 0.34
819, 0.31
820, 0.52
821, 0.48
822, 0.28
823, 0.43
824, 0.27
825, 0.62
826, 0.80
827, 0.44
828, 0.06
829, 0.91
830, 0.29
831, 0.00
832, 0.38
833, 0.55
834, 0.15
835, 0.80
836, 0.30
837, 0.10
838, 0.78
839, 0.00
840, 0.13
841, 0.24
842, 0.07
843, 0.72
844, 0.33
845, 0.42
846, 0.29
847, 0.46
848, 0.04
849, 0.97
850, 0.40
851, 0.56
852, 0.19
853, 0.28
854, 0.17
855, 0.29
856, 0.57
857, 0.38
858, 0.17
859, 0.19
860, 0.02
861, 0.01
862, 0.62
863, 0.31
864, 0.39
865, 0.27
866, 0.01
867, 0.36
868, 0.28
869, 0.03
870, 0.86
871, 0.28
872, 0.41
873, 0.41
874, 0.60
875, 0.45
876, 0.46
877, 0.08
878, 0.22
879, 0.27
880, 0.05
881, 0.28
882, 0.28
883, 0.42
884, 0.32
885, 0.01
886, 0.24
887, 0.26
888, 0.38
889, 0.71
890, 0.06
891, 0.11
892, 0.68
893, 0.30
894, 0.44
895, 0.34
896, 0.18
897, 0.22
898, 0.67
899, 0.08
900, 0.94
901, 0.97
902, 0.37
903, 0.35
904, 0.93
905, 0.97
906, 0.54
907, 0.84
908, 0.97
909, 0.43
910, 0.07
911, 0.07
912, 0.02
913, 0.49
914, 0.00
915, 0.27
916, 0.24
917, 0.10
918, 0.27
919, 0.40
