ID,Prob1
0, 0.52
1, 0.12
2, 0.54
3, 0.52
4, 0.05
5, 0.35
6, 0.25
7, 0.98
8, 0.99
9, 0.14
10, 0.14
11, 0.03
12, 0.58
13, 0.63
14, 0.53
15, 0.03
16, 0.34
17, 0.07
18, 0.21
19, 0.14
20, 0.14
21, 0.34
22, 0.49
23, 0.81
24, 0.32
25, 0.41
26, 0.42
27, 0.02
28, 0.11
29, 0.91
30, 0.02
31, 0.03
32, 0.35
33, 0.19
34, 0.08
35, 0.38
36, 0.02
37, 0.53
38, 0.44
39, 0.41
40, 0.11
41, 0.01
42, 0.24
43, 0.09
44, 0.57
45, 0.35
46, 0.26
47, 0.65
48, 0.73
49, 0.39
50, 0.75
51, 0.05
52, 0.21
53, 0.37
54, 0.69
55, 0.07
56, 0.59
57, 0.07
58, 0.01
59, 0.17
60, 0.32
61, 0.21
62, 0.28
63, 0.11
64, 0.12
65, 0.43
66, 0.84
67, 0.06
68, 0.09
69, 0.01
70, 0.59
71, 0.83
72, 0.24
73, 0.28
74, 0.12
75, 0.18
76, 0.17
77, 0.33
78, 0.10
79, 0.33
80, 0.44
81, 0.21
82, 0.25
83, 0.10
84, 0.34
85, 0.05
86, 0.60
87, 0.16
88, 0.25
89, 0.80
90, 0.05
91, 0.32
92, 0.27
93, 0.29
94, 0.12
95, 0.43
96, 0.44
97, 0.06
98, 0.17
99, 0.19
100, 0.02
101, 0.70
102, 0.68
103, 0.04
104, 0.40
105, 0.10
106, 0.32
107, 0.20
108, 0.28
109, 0.32
110, 0.45
111, 0.32
112, 0.16
113, 0.10
114, 0.26
115, 0.01
116, 0.51
117, 0.06
118, 0.14
119, 0.55
120, 0.34
121, 0.07
122, 0.93
123, 0.74
124, 0.13
125, 0.52
126, 0.36
127, 0.31
128, 0.75
129, 0.15
130, 0.03
131, 0.84
132, 0.21
133, 0.49
134, 0.03
135, 0.30
136, 0.19
137, 0.00
138, 0.42
139, 0.02
140, 0.11
141, 0.74
142, 0.83
143, 0.10
144, 0.08
145, 0.03
146, 0.60
147, 0.08
148, 0.33
149, 0.46
150, 0.76
151, 0.15
152, 0.65
153, 0.20
154, 0.96
155, 0.28
156, 0.12
157, 0.11
158, 0.10
159, 0.09
160, 0.51
161, 0.04
162, 0.23
163, 0.03
164, 0.02
165, 0.47
166, 0.11
167, 0.18
168, 0.12
169, 0.04
170, 0.06
171, 0.51
172, 0.03
173, 0.23
174, 0.59
175, 0.34
176, 0.02
177, 0.10
178, 0.68
179, 0.06
180, 0.80
181, 0.91
182, 0.10
183, 0.05
184, 0.77
185, 0.11
186, 0.66
187, 0.90
188, 0.10
189, 0.29
190, 1.00
191, 0.14
192, 0.66
193, 0.46
194, 0.32
195, 0.59
196, 0.00
197, 0.03
198, 0.35
199, 0.01
200, 0.18
201, 0.34
202, 0.82
203, 0.41
204, 0.27
205, 0.48
206, 0.07
207, 0.49
208, 0.49
209, 0.69
210, 0.21
211, 0.32
212, 0.24
213, 0.28
214, 0.77
215, 0.07
216, 0.43
217, 0.25
218, 0.05
219, 0.74
220, 0.02
221, 0.23
222, 0.11
223, 0.75
224, 0.92
225, 0.41
226, 0.50
227, 0.54
228, 0.26
229, 0.06
230, 0.17
231, 0.68
232, 0.58
233, 0.08
234, 0.38
235, 0.09
236, 0.19
237, 0.75
238, 0.86
239, 0.53
240, 0.40
241, 0.27
242, 0.44
243, 0.15
244, 0.28
245, 0.11
246, 0.22
247, 0.87
248, 0.38
249, 0.09
250, 0.97
251, 0.37
252, 0.17
253, 0.14
254, 0.18
255, 0.15
256, 0.71
257, 0.26
258, 0.97
259, 0.03
260, 0.86
261, 0.11
262, 0.23
263, 0.16
264, 0.06
265, 0.23
266, 0.02
267, 0.62
268, 0.16
269, 0.15
270, 0.03
271, 0.00
272, 0.33
273, 0.07
274, 0.45
275, 0.04
276, 0.84
277, 0.84
278, 0.11
279, 0.12
280, 0.74
281, 0.21
282, 0.13
283, 0.23
284, 0.02
285, 0.81
286, 0.81
287, 0.06
288, 0.14
289, 0.16
290, 0.15
291, 0.16
292, 0.31
293, 0.01
294, 0.05
295, 0.07
296, 0.35
297, 0.00
298, 0.59
299, 0.84
300, 0.42
301, 0.34
302, 0.20
303, 0.61
304, 0.02
305, 0.38
306, 0.78
307, 0.21
308, 0.02
309, 0.80
310, 0.29
311, 0.36
312, 0.29
313, 0.12
314, 0.76
315, 0.11
316, 0.01
317, 0.49
318, 0.13
319, 0.87
320, 0.19
321, 0.12
322, 0.39
323, 0.40
324, 0.33
325, 0.46
326, 0.41
327, 0.27
328, 0.63
329, 0.21
330, 0.02
331, 0.47
332, 0.48
333, 0.33
334, 0.34
335, 0.11
336, 0.34
337, 0.95
338, 0.44
339, 0.25
340, 0.18
341, 0.25
342, 0.01
343, 0.07
344, 0.56
345, 0.69
346, 0.74
347, 0.01
348, 0.06
349, 0.41
350, 0.13
351, 0.17
352, 0.06
353, 0.41
354, 0.10
355, 0.55
356, 0.09
357, 0.32
358, 0.27
359, 0.30
360, 0.41
361, 0.16
362, 0.22
363, 0.66
364, 0.30
365, 0.86
366, 0.25
367, 0.05
368, 0.35
369, 0.78
370, 0.02
371, 0.18
372, 0.22
373, 0.25
374, 0.44
375, 0.04
376, 0.59
377, 0.04
378, 0.48
379, 0.06
380, 0.41
381, 0.11
382, 0.06
383, 0.74
384, 0.64
385, 0.10
386, 0.05
387, 0.63
388, 0.17
389, 0.33
390, 0.14
391, 0.17
392, 0.97
393, 0.28
394, 0.31
395, 0.08
396, 0.58
397, 0.15
398, 0.26
399, 0.60
400, 0.43
401, 0.32
402, 0.00
403, 0.06
404, 0.47
405, 0.30
406, 0.57
407, 0.12
408, 0.21
409, 0.17
410, 0.00
411, 0.24
412, 0.28
413, 0.15
414, 0.10
415, 0.07
416, 0.52
417, 0.09
418, 0.24
419, 0.36
420, 0.41
421, 0.27
422, 0.64
423, 0.11
424, 0.26
425, 0.32
426, 0.19
427, 0.05
428, 0.27
429, 0.02
430, 0.18
431, 0.51
432, 0.08
433, 0.23
434, 0.56
435, 0.08
436, 0.76
437, 0.19
438, 0.82
439, 0.09
440, 0.26
441, 0.23
442, 0.69
443, 0.37
444, 0.09
445, 0.12
446, 0.36
447, 0.18
448, 0.92
449, 0.28
450, 0.20
451, 0.62
452, 0.46
453, 0.29
454, 0.34
455, 0.28
456, 0.64
457, 0.38
458, 0.17
459, 0.28
460, 0.75
461, 0.00
462, 0.13
463, 0.23
464, 0.10
465, 0.03
466, 0.18
467, 0.30
468, 0.16
469, 0.28
470, 0.54
471, 0.11
472, 0.34
473, 0.08
474, 0.68
475, 0.15
476, 0.25
477, 0.01
478, 0.10
479, 0.65
480, 0.19
481, 0.43
482, 0.36
483, 0.21
484, 0.04
485, 0.91
486, 0.70
487, 0.85
488, 0.67
489, 0.65
490, 0.05
491, 0.58
492, 0.05
493, 0.03
494, 0.90
495, 0.04
496, 0.98
497, 0.60
498, 0.94
499, 0.16
500, 0.38
501, 0.31
502, 0.39
503, 0.13
504, 0.66
505, 0.18
506, 0.37
507, 0.01
508, 0.50
509, 0.56
510, 0.67
511, 0.18
512, 0.07
513, 0.02
514, 0.25
515, 0.75
516, 0.06
517, 0.34
518, 0.28
519, 0.86
520, 0.28
521, 0.52
522, 0.37
523, 0.60
524, 0.29
525, 0.38
526, 0.11
527, 0.29
528, 0.15
529, 0.35
530, 0.10
531, 0.43
532, 0.30
533, 0.16
534, 0.74
535, 0.45
536, 0.31
537, 0.03
538, 0.35
539, 0.20
540, 0.05
541, 0.03
542, 0.89
543, 0.47
544, 0.20
545, 0.72
546, 0.46
547, 0.05
548, 0.71
549, 0.26
550, 0.86
551, 0.14
552, 0.93
553, 0.12
554, 0.04
555, 0.07
556, 0.38
557, 0.08
558, 0.25
559, 0.29
560, 0.22
561, 0.08
562, 0.08
563, 0.26
564, 0.19
565, 0.26
566, 0.04
567, 0.67
568, 0.32
569, 0.13
570, 0.26
571, 0.05
572, 0.07
573, 0.27
574, 0.17
575, 0.14
576, 0.08
577, 0.77
578, 0.29
579, 0.34
580, 0.60
581, 0.44
582, 0.78
583, 0.30
584, 0.14
