ID,Prob1
0, 0.47
1, 0.30
2, 0.31
3, 0.24
4, 0.31
5, 0.25
6, 0.36
7, 0.37
8, 0.37
9, 0.35
10, 0.37
11, 0.39
12, 0.24
13, 0.41
14, 0.42
15, 0.37
16, 0.25
17, 0.37
18, 0.24
19, 0.38
20, 0.40
21, 0.24
22, 0.33
23, 0.40
24, 0.25
25, 0.38
26, 0.24
27, 0.42
28, 0.25
29, 0.37
30, 0.26
31, 0.25
32, 0.24
33, 0.39
34, 0.41
35, 0.53
36, 0.37
37, 0.24
38, 0.39
39, 0.46
40, 0.34
41, 0.24
42, 0.29
43, 0.37
44, 0.54
45, 0.40
46, 0.25
47, 0.42
48, 0.53
49, 0.37
50, 0.54
51, 0.26
52, 0.31
53, 0.24
54, 0.34
55, 0.27
56, 0.39
57, 0.24
58, 0.35
59, 0.29
60, 0.53
61, 0.37
62, 0.34
63, 0.29
64, 0.24
65, 0.24
66, 0.25
67, 0.24
68, 0.25
69, 0.38
70, 0.37
71, 0.54
72, 0.39
73, 0.24
74, 0.24
75, 0.24
76, 0.24
77, 0.24
78, 0.24
79, 0.29
80, 0.40
81, 0.25
82, 0.25
83, 0.36
84, 0.26
85, 0.29
86, 0.35
87, 0.28
88, 0.24
89, 0.42
90, 0.24
91, 0.25
92, 0.25
93, 0.31
94, 0.24
95, 0.24
96, 0.25
97, 0.23
98, 0.24
99, 0.37
100, 0.31
101, 0.48
102, 0.39
103, 0.43
104, 0.35
105, 0.38
106, 0.53
107, 0.23
108, 0.40
109, 0.35
110, 0.27
111, 0.27
112, 0.34
113, 0.29
114, 0.37
115, 0.36
116, 0.33
117, 0.37
118, 0.24
119, 0.40
120, 0.27
121, 0.37
122, 0.37
123, 0.36
124, 0.32
125, 0.33
126, 0.25
127, 0.37
128, 0.25
129, 0.24
130, 0.37
131, 0.37
132, 0.27
133, 0.37
134, 0.44
135, 0.21
136, 0.24
137, 0.27
138, 0.27
139, 0.37
140, 0.34
141, 0.35
142, 0.37
143, 0.24
144, 0.32
145, 0.33
146, 0.37
147, 0.37
148, 0.39
149, 0.24
150, 0.36
151, 0.24
152, 0.27
153, 0.24
154, 0.37
155, 0.37
156, 0.42
157, 0.37
158, 0.25
159, 0.37
160, 0.34
161, 0.40
162, 0.25
163, 0.24
164, 0.26
165, 0.37
166, 0.24
167, 0.39
168, 0.37
169, 0.31
170, 0.37
171, 0.42
172, 0.24
173, 0.37
174, 0.37
175, 0.25
176, 0.22
177, 0.44
178, 0.54
179, 0.24
180, 0.34
181, 0.42
182, 0.27
183, 0.24
184, 0.41
185, 0.37
186, 0.36
187, 0.38
188, 0.25
189, 0.34
190, 0.37
191, 0.26
192, 0.37
193, 0.36
194, 0.25
195, 0.28
